split,utt,spk,asr,cond,hyp
test,p00_u05,p00,whisper-small,enc5.0,"또, 현재 운영되고 있는 부상교통공사, 운행관계 현장조치 메뉴얼 등 관련 메뉴얼을 전면 재검점에 안정관리를 지속적으로 해나갈 방침이다."
test,p00_u06,p00,whisper-small,no_se,시내마을버스는 실택의 시간대의 일부 노선을 제외하고는 대부분의 노선이 혼잡조가 낮아 현재는 생화차에 어려움없이 안전하게 관리되고 있다.
test,p00_u06,p00,whisper-small,taps,시내 마을 버스는 출퇴근 시간대 일부 노선을 제외하고는 대부분의 노선이 혼잡도가 낮아 현재는 승화차의 어려움 없이 안전하게 관리되고 있다.
test,p00_u06,p00,whisper-small,ce0.0,시내 마을 버스는 출퇴근 시간대 일부 노선을 제외하고는 대부분의 노선이 혼잡도가 낮아 현재는 승화차의 어려움 없이 안전하게 관리되고 있다.
test,p00_u06,p00,whisper-small,ce0.1,시내 마을 버스는 출퇴근 시간대 일부 노선을 제외하고는 대부분의 노선이 혼잡도가 낮아 현재는 생화차의 어려움 없이 안전하게 관리되고 있다.
test,p00_u06,p00,whisper-small,ce0.5,흰의 마을 버스는 출퇴근 시간대 일부 노선을 제외하고는 대부분의 노선이 혼잡도가 낮아 현재는 생화차의 어려움 없이 안전하게 관리되고 있다.
test,p00_u06,p00,whisper-small,ce1.0,시내 마을 버스는 출퇴근 시간대 일부 노선을 제외하고는 대부분의 노선이 혼잡도가 낮아 현재는 생화차에 어려움 없이 안전하게 관리되고 있다.
test,p00_u06,p00,whisper-small,ce2.0,시내 마을 버스는 출퇴근 시간대 일부 노선을 제외하고는 대부분의 노선이 혼잡도가 낮아 현재는 생화차의 어려움 없이 안전하게 관리되고 있다
test,p00_u06,p00,whisper-small,ce5.0,시내 마을 버스는 출퇴근 시간대 일부 노선을 제외하고는 대부분의 노선이 혼잡도가 낮아 현재는 승하차의 어려움 없이 안전하게 관리되고 있다
test,p00_u06,p00,whisper-small,ce10.0,신의 마을 버스는 출퇴근 시간대 일부 노선을 제외하고는 대부분의 노선이 혼잡도가 낮아 현재는 승화차의 어려움 없이 안전하게 관리되고 있다
test,p00_u06,p00,whisper-small,ce_only10.0,신의 마을 버스는 출퇴근 시간대 일부 노선을 제외하고는 대부분의 노선이 혼잡도가 낮아 현재는 승화차의 어려움 없이 안전하게 관리되고 있다
test,p00_u06,p00,whisper-small,enc5.0,시내 마을 버스는 출퇴근 시간대 일부 노선을 제외하고는 대부분의 노선이 혼잡도가 낮아 현재는 승화차의 어려움 없이 안전하게 관리되고 있다.
test,p00_u07,p00,whisper-small,no_se,앞으로 신의 2023년 하방이기 중 하차팩을 의무제를 도입해 버스 내 제차 인원 정보를 파악해 탑스의 인원을 실시간 수집할 계획이다.
test,p00_u07,p00,whisper-small,taps,앞으로 씨는 2023년 하반기 중 4차 태그 의무제를 도입해 버스 내 제차 인원 정보를 파악해 탑승 인원을 실시간 수집할 계획이다.
test,p00_u07,p00,whisper-small,ce0.0,앞으로 씨는 2023년 하반기 중 4차 태그 의무제를 도입해 버스 내 제차 인원 정보를 파악해 탑승 인원을 실시간 수집할 계획이다.
test,p00_u07,p00,whisper-small,ce0.1,앞으로 신의 2023년 하반기 중 4차 태그 의무제를 도입해 버스 내 제차 인원 정보를 파악해 탑승 인원을 실시간 수립할 계획이다.
test,p00_u07,p00,whisper-small,ce0.5,앞으로 씨는 2023년 하반기 중 하차테그 의무제를 도입해 버스 내 제차 인원 정보를 파악해 탑승 인원을 실시간 수집할 계획이다.
test,p00_u07,p00,whisper-small,ce1.0,앞으로 씨는 2023년 하반기중 하차테그 의무제를 도입해 버스 내 제차 인원 정보를 파악해 탑승 인원을 실시간 수집할 계획이다.
test,p00_u07,p00,whisper-small,ce2.0,앞으로 시는 2023년 하반기 중 하차 태그 의무제를 도입해 버스네 재차 인원 정보를 파악해 탑승 인원을 실시간 수집할 계획이다.
test,p00_u07,p00,whisper-small,ce5.0,앞으로 씨는 2023년 하반기 중 하차 태그 의무제를 도입해 버스 내 제차 인원 정보를 파악해 탑승 인원을 실시간 수집할 계획이다
test,p00_u07,p00,whisper-small,ce10.0,앞으로 씨는 2023년 하반기 중 하차태그 의무제를 도입해 버스 내 제차 인원 정보를 파악해 탑승 인원을 실시간 수집할 계획이다
test,p00_u07,p00,whisper-small,ce_only10.0,앞으로 씨는 2023년 하반기 중 하차 태그 의무제를 도입해 버스네 제차 인원 정보를 파악해 탑승 인원을 실시간 수집할 계획이다
test,p00_u07,p00,whisper-small,enc5.0,"앞으로, 시는 2023년 하반기 중 4차 태그 의무제를 도입해 버스내에 제차 인원 정보를 파악해 탑승 인원을 실시간 수집할 계획이다."
test,p00_u08,p00,whisper-small,no_se,이를 통해 버튼의 혼잡도 정보를 버튼 정보 안 내기 스마트폰 등을 통해 이용 시민들에게 제공할 계획이다.
test,p00_u08,p00,whisper-small,taps,"이를 통해 버스 내 혼잡도 정보를, 버스 정보 안내기, 스마트폰 등을 통해 이용 시민들에게 개공할 계획이다."
test,p00_u08,p00,whisper-small,ce0.0,이를 통해 버스 내 혼잡도 정보를 버스 정보 안내기 후 스마트폰 등을 통해 이용 시민들에게 제공할 계획이다.
test,p00_u08,p00,whisper-small,ce0.1,"이를 통해 버스 내 혼잡도 정보를, 버스 정보 안내기, 스마트폰 등을 통해 이용 시민들에게 제공할 계획이다."
test,p00_u08,p00,whisper-small,ce0.5,이를 통해 버스 내 혼잡도 정보를 버스 정보 안내기 스마트콘 등을 통해 유용 시민들에게 제공할 계획이다.
test,p00_u08,p00,whisper-small,ce1.0,이를 통해 버스 내 혼잡도 정보를 버스 정보 안 내기 스마트폰 등을 통해 이용 시민들에게 제공할 계획이다.
test,p00_u08,p00,whisper-small,ce2.0,이를 통해 버스 내 혼잡도 정보를 버스 정보 안내기 스마트폰 등을 통해 이용 시민들에게 제공할 계획이다
test,p00_u08,p00,whisper-small,ce5.0,이를 통해 버스 내 혼잡도 정보를 버스 정보 안내기 스마트폰 등을 통해 유용 시민들에게 제공할 계획이다
test,p00_u08,p00,whisper-small,ce10.0,이를 통해 버스 내 혼잡도 정보를 버스 정보 안내기 스마트폰 등을 통해 이용 시민들에게 제공할 계획이다
test,p00_u08,p00,whisper-small,ce_only10.0,이를 통해 버스 내 혼잡도 정보를 버스 정보 안내기 스마트폰 등을 통해 유용 시민들에게 제공할 계획이다
test,p00_u08,p00,whisper-small,enc5.0,"이를 통해 버스의 혼잡도 정보를 버스 정보 안내기, 스마트폰 등을 통해 이용 시민들에게 개공할 계획이다"
test,p00_u09,p00,whisper-small,no_se,원주신은 19-5호조면 산열리 7봉태우공원에서 성강 4장나무 숲 블랙힐 세총 숲을 개최했다.
test,p00_u09,p00,whisper-small,taps,원주시는 19일 오후 호조면 4년이 칠봉쾌유공원에서 섬강자장나무습 둘레길 개통식을 개최했다.
test,p00_u09,p00,whisper-small,ce0.0,원주 씨는 19일 오후 호조면 산열리 7봉KU공원에서 섬강자장나무습 둘레길개통식을 개최했다.
test,p00_u09,p00,whisper-small,ce0.1,원주시는 19일 오후 호조면 4년이 칠봉쾌육공원에서 섬강자장나무숩 둘레길 개통식을 개최했다.
test,p00_u09,p00,whisper-small,ce0.5,원주시는 19일 오후 호조면 산열리 칠봉태유공원에서 섬강 자장나무습 블랙길 개통틱을 개최했다.
test,p00_u09,p00,whisper-small,ce1.0,원주신은 19일 오후 호조면 4년 이 7분 케유 공원에서 섬강 가장 나무습 둘레길 개통식을 개최했다.
test,p00_u09,p00,whisper-small,ce2.0,원주진은 19일 오후 호조면 산열리 7봉쾌유공원에서 섬강 가장 나무습 둘레길 개통식을 개최했다.
test,p00_u09,p00,whisper-small,ce5.0,원주 씨는 19일 오후 호조면 산열리 킬봉태유 공원에서 섬강 가장 나무습 둘레길 개통식을 개최했다
test,p00_u09,p00,whisper-small,ce10.0,원주진은 19일 오후 호조면 산열리 칠봉태유공원에서 섬강 가장 나무습 둘레길 개통식을 개최했다
test,p00_u09,p00,whisper-small,ce_only10.0,원주 씨는 19일 오후 호조면 산열리 칠봉케유 공원에서 섬강 가장 나무숩 둘레길 개통식을 개최했다
test,p00_u09,p00,whisper-small,enc5.0,원주 씨는 19일 오후 호조면 4년이 칠봉KU공원에서 섬강가장나무숩둘레길개통식을 개최했다.
test,p00_u10,p00,whisper-small,no_se,이 날 개청된 4.5km 규모의 둘렛길은 대표길과 시계 공간을 비롯해 수령 30년 이상의 자장나무가 굴락을 이루고 있는 습둥을 갖추고 있다.
test,p00_u10,p00,whisper-small,taps,이날 개통된 4.5km 규모의 둘레길은 태크길과 슈게 공간을 비롯해 수령 30년 이상의 자작나무과 굴랑을 이루고 있는 숲 등을 갖추고 있다.
test,p00_u10,p00,whisper-small,ce0.0,이날 개통된 4.5km 지모의 둘레길은 대크길과 시계 공간을 비롯해 수령 30년 이상의 자작나무가 굴락을 이루고 있는 숯 등을 갖추고 있다.
test,p00_u10,p00,whisper-small,ce0.1,이날 개통된 4.5km 규모의 둘레길은 태극힐과 시기의 공간을 비롯해 수령 30년 이상의 자작나무가 굴랑을 이루고 있는 숲 등을 갖추고 있다.
test,p00_u10,p00,whisper-small,ce0.5,이날 개통된 4.5km 규모의 둘레길은 테크길과 휴게 공간을 비롯해 수령 30년 이상의 자작나무가 굴락을 이루고 있는 숲 등을 갖추고 있다.
test,p00_u10,p00,whisper-small,ce1.0,이날 개통된 4.5km 규모의 둘렛길은 태극길과 시계 공간을 비롯해 수령 30년 이상의 자작나무과 군락을 이루고 있는 숲 등을 갖추고 있다.
test,p00_u10,p00,whisper-small,ce2.0,이날 개통된 4.5km 규모의 둘레길은 테크길과 시계 공간을 비롯해 수령 30년 이상의 자장나무가 굴랑을 이루고 있는 숲 등을 갖추고 있다
test,p00_u10,p00,whisper-small,ce5.0,이날 개통된 4.5km 규모의 둘레길은 대극길과 시계 공간을 비롯해 수령 30년 이상의 자작나무가 굴락을 이루고 있는 숲 등을 갖추고 있다
test,p00_u10,p00,whisper-small,ce10.0,이날 개통된 4.5km 규모의 둘레길은 백극길과 휴게 공간을 비롯해 수령 30년 이상의 자장나무가 굴랑을 이루고 있는 숲 등을 갖추고 있다
test,p00_u10,p00,whisper-small,ce_only10.0,이날 개통된 4.5km 규모의 둘레길은 대급길과 시길 공간을 비롯해 수령 30년 이상의 자작나무가 굴락을 이루고 있는 숲 등을 갖추고 있다
test,p00_u10,p00,whisper-small,enc5.0,이날 개통된 4.5km 규모의 둘레길은 태클길과 시계 공간을 비롯해 수령 30년 이상의 자작나무과 군랑을 이루고 있는 숲 등을 갖추고 있다.
test,p00_u11,p00,whisper-small,no_se,칠봉체육경원에서 출발해 성강을 따라 걷는 택백 길에는 들판과 방이 어우러진 풍강을 만족할 수 있다.
test,p00_u11,p00,whisper-small,taps,칠봉체육경원에서 출발해 성강을 따라 걷는 태극길에는 들판과 강이 어우러진 풍강을 망기할 수 있다.
test,p00_u11,p00,whisper-small,ce0.0,칠봉체육경원에서 출발해 성강을 따라 걷는 태극길에는 들판과 강이 어우러진 풍강을 만기킬 수 있다.
test,p00_u11,p00,whisper-small,ce0.1,칠봉체육경원에서 출발해 성강을 따라 걷는 태극길에는 들판과 강이 어우러진 풍강을 만기킬 수 있다.
test,p00_u11,p00,whisper-small,ce0.5,칠봉체육경원에서 출발해 현강을 따라 걷는 특극길에는 들판과 강이 어우러진 풍강을 망기깔 수 있다.
test,p00_u11,p00,whisper-small,ce1.0,칠봉체육경원에서 출발해 성강을 따라 걷는 특급길에는 들판과 강이 어우러진 풍강을 만족할 수 있다.
test,p00_u11,p00,whisper-small,ce2.0,칠봉체육경원에서 출발해 성강을 따라 걷는 태극길에는 들판과 강이 어우러진 풍강을 만끽할 수 있다.
test,p00_u11,p00,whisper-small,ce5.0,칠봉체육경원에서 출발해 성강을 따라 걷는 태극길에는 들판과 강이 어우러진 풍강을 만족할 수 있다
test,p00_u11,p00,whisper-small,ce10.0,칠봉체육경원에서 출발해 성강을 따라 걷는 태극길에는 들판과 강이 어우러진 풍강을 만족할 수 있다
test,p00_u11,p00,whisper-small,ce_only10.0,칠봉체육경원에서 출발해 성강을 따라 걷는 특극길에는 들판과 강이 어우러진 풍강을 만끽할 수 있다
test,p00_u11,p00,whisper-small,enc5.0,칠봉체육경원에서 출발해 성강을 따라 걷는 태극길에는 들판과 강이 어우러진 풍강을 만끽할 수 있다.
test,p00_u12,p00,whisper-small,no_se,이어 잔나무수 풀 지나면 보디오 음빅 카페를 풀리는 자장나무줄락이 나타난다
test,p00_u12,p00,whisper-small,taps,이어 잔나무 숲을 지나면 곧 이어 은비차태를 뿐내는 자장나무 굴락이 나타난다.
test,p00_u12,p00,whisper-small,ce0.0,이어 잔나무 숲을 지나면 곧이어 은비차태를 뿐내는 자장나무 굴락이 나타난다.
test,p00_u12,p00,whisper-small,ce0.1,이어 잔나무 숲을 지나면 곧 이어 은비 차태를 뿐내는 자장나무 굴락이 나타난다.
test,p00_u12,p00,whisper-small,ce0.5,이어 잔나무 숲을 지나면 곧이어 은비폐태를 뿐내는 자장나무 굴락이 나타난다.
test,p00_u12,p00,whisper-small,ce1.0,이어 잔나무 숲을 지나면 곧 이어 은빛 자태를 뿐내는 자장나무 굴락이 나타난다
test,p00_u12,p00,whisper-small,ce2.0,이어 잔나무 스프를 지나면 고지어 은비차태를 뿐내는 자장나무 굴락이 나타난다
test,p00_u12,p00,whisper-small,ce5.0,이어 잔나무 숲을 지나면 고지여 은비차태를 뿐내는 자장나무 굴락이 나타난다
test,p00_u12,p00,whisper-small,ce10.0,이어 잔나무 수풀 지나면 곧 이어 은비 차태를 뿐내는 자장나무 굴락이 나타난다
test,p00_u12,p00,whisper-small,ce_only10.0,이어 잔나무 스폴 지나면 고디어 은비 차태를 뿐내는 자장나무 굴락이 나타난다
test,p00_u12,p00,whisper-small,enc5.0,이어 잔나무 숲을 지나면 곧이어 은비차태를 뿐내는 자장나무 굴락이 나타난다.
test,p00_u13,p00,whisper-small,no_se,원주신은 건강객들에게 새로운 볼거리 제공하기 위해 성강자장랑수 블랙길의 다양한 유제 수프를 추가 조성하기로 했다.
test,p00_u13,p00,whisper-small,taps,원주시는 관광객들에게 새로운 볼거리를 대공하기 위해 성강 가장 나무 숲 둘레길의 다양한 주제의 숲을 추가 조성하기로 했다.
test,p00_u13,p00,whisper-small,ce0.0,원주시는 관광객들에게 새로운 볼거리를 제공하기 위해 성강 가장나무습 둘렛길의 다양한 주제의 숲을 추가 조성하기로 했다.
test,p00_u13,p00,whisper-small,ce0.1,"원주시는 관광객들에게 새로운 볼거리를 제공하기 위해 성강, 다장나무숲, 둘렛길의 다양한 주제의 숲을 추가 조성하기로 했다."
test,p00_u13,p00,whisper-small,ce0.5,원주 씨는 관광객들에게 새로운 불거리 제공하기 위해 성광 가장 나무 숲 둘렛길의 다양한 유제의 숲을 추가 조성하기로 했다.
