language,speaker_id,sentence_id,reference,A_pretrained,B_full_ft,C_adapter,D_lora
korean,p00,u14,원창묵 원주시장은 치악산 둘레 길 소금산 그랜드밸리 등과 연계한 관광 프로그램을 운영하는 방안도 검토하고 있다고 말했다,0.3333,0.0909,0.0758,0.1212
korean,p00,u15,앞서 원주시는 지난해 오 월 백 삼십 구 점 이 키로미터에 달하는 치악산 둘레 길 열 한 개 코스 전 구간을 개통했다,0.5231,0.0615,0.1077,0.1846
korean,p00,u16,이는 등산로 샛길 임도 둑길 옛길 마을 길 등 기존의 길을 연결하고 새로운 길을 내어 다듬은 도보 여행길이다,0.2667,0.1333,0.0833,0.1333
korean,p00,u17,순창군체육회가 주최하고 순창군배드민턴협회가 주관해 열린 제 십 일 회 순창 고추장 배 전국배드민턴대회가 성황리에 막을 내렸다,0.3188,0.087,0.1739,0.1739
korean,p00,u18,순창국민체육센터 등 세 개 구장에서 전라북도와 순창군이 후원해 지난 육 일부터 이틀 동안 열린 대회는 예상보다 많은 일 천 여명이 참가해 인기를 실감케 했다,0.2184,0.069,0.092,0.0805
korean,p00,u19,특히 참가한 선수는 모두 동호인으로 연령별 성별 경기방식에 따라 칠십 개조로 나눠 경기가 진행됐다,0.2593,0.0185,0.0556,0.037
korean,p00,u20,애초 국민체육센터와 장애인체육관 등 이 곳에서 대회가 진행될 예정이었으나 일 천 여명이 참가를 희망하자 순창제일고 체육관까지 대관해 세 개 구장에서 치러졌다,0.2529,0.1264,0.1149,0.1379
korean,p00,u21,특히 코로나 일구 재확산세로 접어든 엄중한 시기여서 군과 배드민턴협회는 철저한 시설방역에 중점을 두고 경기를 진행했다,0.2923,0.0615,0.0462,0.1077
korean,p00,u22,아울러 발열 체크와 꼼꼼한 시설소독으로 동호인의 건강보호는 물론 지역 내 코로나 확산 방지에 최선을 다했다는 게 주최 측의 설명이다,0.137,0.0685,0.1096,0.0822
korean,p00,u23,한편 이번 대회는 코로나 일구가 발생하기 전인 지난 이천 십 구 년을 마지막으로 그동안 열리지 못하다가 정부의 거리두기 해제 정책에 따라 삼 년 만에 다시 개최됐다,0.1868,0.0,0.0,0.033
korean,p00,u24,자신의 아내를 성폭행했다고 오해해 직장 동료를 흉기로 찔러 살해한 혐의를 받는 사십 대 공무직 직원이 재판에 넘겨졌다,0.1846,0.0462,0.0462,0.0308
korean,p00,u25,이 일 법조계에 따르면 인천지검은 살인 및 도로교통법상 음주 운전 혐의로 인천 옹진군청 소속 공무직 직원 에이 씨를 구속기소했다,0.493,0.0563,0.0986,0.0845
korean,p00,u26,해당 사건은 인천지법 형사십오부에 배당됐으며 아직 첫 기일은 정해지지 않았다,0.3095,0.0952,0.0714,0.1905
korean,p00,u27,앞서 에이 씨에 대한 구속 전 피의자 심문을 진행한 김현덕 인천지법 영장전담 부장판사는 피의자가 도망할 우려가 있다며 구속영장을 발부했다,0.2632,0.0789,0.0395,0.0526
korean,p00,u28,에이 씨는 영장실질심사에 출석하기 전 피해자에게 할 말 없느냐는 취재진의 질문에 죄송하다 죽을 죄를 지었다고 작은 목소리로 답했다,0.25,0.0972,0.0694,0.1389
korean,p00,u29,그는 지난달 십 이 일 영 시 오 분께 한 도로에서 면사무소 동료인 공무직 직원 비 씨의 복부 부위를 흉기로 찔러 살해한 혐의를 받고 있다,0.2857,0.0649,0.1039,0.1558
korean,p00,u30,에이 씨는 범행 당일 오후 비 씨를 포함해 지인들과 함께 고깃집에서 술을 마신 후 자기 집에서 다 같이 술자리를 또 가졌던 것으로 조사됐다,0.2078,0.0519,0.0649,0.0909
korean,p00,u31,이후 일행이 모두 귀가한 뒤 에이 씨는 잠긴 방 안에서 옷을 벗은 채 잠든 아내를 보고 술김에 비 씨가 자기 아내를 성폭행했다고 오해한 것으로 파악됐다,0.1667,0.0476,0.1071,0.0714
korean,p00,u32,경찰 조사에서 에이 씨는 평소보다 술을 많이 마셔서 술김에 비 씨를 오해했다고 진술했다,0.2917,0.0,0.0208,0.2917
korean,p00,u33,에이 씨의 아내도 참고인 조사에서 비 씨에게 성폭행을 당한 사실이 없다고 밝힌 것으로 전해졌다,0.4423,0.0192,0.0192,0.0769
korean,p00,u34,경북 칠곡군이 민간 위탁을 통해 운영 중인 칠곡보 야외 물놀이장이 인기를 끌고 있다,0.3696,0.0652,0.087,0.087
korean,p00,u35,임종진 씨는 민결윤결 쌍둥이 자녀와 올여름에만 두 번째 칠곡보 야외 물놀이장을 찾았다,0.2979,0.1489,0.1702,0.1064
korean,p00,u36,사 인 가족 기준 이 만 원이면 수영장은 물론 각종 물놀이 부대시설을 마음껏 이용할 수 있기 때문이다,0.2679,0.0536,0.1071,0.1071
korean,p00,u37,입장료 이외는 별도의 비용이 발생하지 않는 등 사설 물놀이장 보다 저렴한 가격은 물론 다양한 부대시설과 매점 판매 음식물이 저렴하기 때문이다,0.1282,0.1154,0.1282,0.1154
korean,p00,u38,물놀이장에는 대형 풀 다섯 개 중형 풀 두 개 워터슬라이드 에어바운드 기차 오토바이 등이 마련돼 있다,0.2679,0.0357,0.0536,0.0357
korean,p00,u39,이용 편의를 위해 몽골텐트 차광막 테이블 피크닉 존 매점 푸드 존 샤워실 탈의실 화장실 등의 부대시설도 갖춰져 있다,0.3281,0.1094,0.125,0.125
korean,p00,u40,이용 요금은 십 사 세 이상 일만 이천 원 어린이 팔천 원이며 칠곡군민은 오십 퍼센트 할인된다,0.5385,0.1731,0.1154,0.1923
korean,p00,u41,다른 지역 방문객도 오천 원으로 오십 퍼센트 할인권 구매가 가능해 이만 오천 원이면 사 인 가족이 이용할 수 있다,0.381,0.0317,0.0476,0.0952
korean,p00,u42,광역동 체제로 행정구역이 개편돼 열 곳으로 줄었던 경기 부천지역 사전투표소가 오는 삼 월 대선을 앞두고 서른 여섯 곳으로 원상복구된다,0.3378,0.0946,0.0946,0.1081
korean,p00,u43,십 이 일 부천시와 선거관리위원회에 따르면 지난 십 일 일 열린 국회 본회의에서 서영석 더불어민주당 의원이 대표 발의한 공직선거법 일부 개정 법률안이 가결됐다,0.1818,0.0114,0.0227,0.0341
korean,p00,u44,이 법률안에는 행정구역 개편으로 읍 면 동 수가 줄어든 경우 개편 직전의 수를 기준으로 사전투표소를 설치하고 선거 사무원을 선임하는 내용이 담겼다,0.1358,0.037,0.0494,0.0617
korean,p00,u45,개정된 법안은 오는 십 오 일 공포와 동시에 시행돼 삼 월 구 일 열리는 제 이십 대 대통령 선거부터 적용될 예정이다,0.3692,0.0,0.0154,0.0154
korean,p00,u46,앞서 부천시는 지난 이천 십 구 년 광역동 체제로 전환하면서 기존 서른 여섯 개 행정동이 열 곳으로 대폭 축소됐다,0.4603,0.0317,0.0952,0.0794
korean,p00,u47,이에 따라 사전투표소 수도 열 개로 축소돼 지난 이천 이십 년 제 이십 일 대 총선 당시 주민들이 멀리 떨어진 투표소까지 찾아가야 하는 불편을 겪었다,0.2048,0.0,0.012,0.0
korean,p00,u48,이 영향으로 부천지역 사전투표율은 전국 기초 지자체 가운데 두 번째로 낮았고 참정권 침해 논란이 일기도 했다,0.1833,0.15,0.1167,0.1667
korean,p00,u49,부천시 선관위는 대선 때 사전투표소가 원활하게 운영되도록 잘 준비하겠다고 밝혔다,0.2727,0.0909,0.0455,0.1818
korean,p00,u50,영화 해적 도깨비 깃발이 팔 일 연속 박스 오피스 최정상을 지키며 설 연휴 극장가를 사로잡았다,0.3077,0.1538,0.1923,0.25
korean,p00,u51,삼 일 영화 진흥 위원회 영화관 입장권 통합 전산망에 따르면 해적 도깨비 깃발은 전날 하루 동안 십 삼 만 천 칠백 십 일 명을 동원해 누적 관객수 팔십팔 만천사백구십육 명을 기록했다,0.4314,0.1471,0.1078,0.1765
korean,p00,u52,해적 도깨비 깃발은 흔적도 없이 사라진 왕실 보물의 주인이 되기 위해 바다로 모인 해적들의 스펙터클한 모험을 그린 영화다,0.194,0.0896,0.1045,0.1493
korean,p00,u53,작품은 동시기 개봉작을 비롯해 쟁쟁한 국내외 모든 경쟁작을 압도적으로 제치며 올해 개봉작 중 최고 스코어를 넘어섰다,0.1562,0.125,0.1094,0.1719
korean,p00,u54,이 위를 차지한 킹메이커는 칠만 육천 이백 팔십 팔 명을 불러모아 누적 관객수 사십 팔 만 사천 사백 이십 구 명을 동원했다,0.6812,0.0435,0.1014,0.087
korean,p00,u55,사 위 씽투게더는 일일 관객수 이만 육백 이십 팔 명으로 누적 관객수는 칠십 구 만 삼천 오백 사십 구 명으로 집계됐다,0.7424,0.1061,0.0758,0.1364
korean,p00,u56,오 위 극장판 안녕 자두야 제주도의 비밀은 일일 관객수 일만 이천 오백 오십 오 명 누적 관객수 육만 칠천 삼백 이십 팔 명이다,0.7183,0.1549,0.1408,0.1549
korean,p00,u57,경기 과천시는 이천 이십 이 년 꽃과 쉼이 있는 거리 조성 사업을 통해 거리 곳곳에 꽃향기 가득한 감성 공간을 조성하고 있다고 십 구 일 밝혔다,0.325,0.05,0.0375,0.1375
korean,p00,u58,과천시는 이 사업을 통해 과천시민회관 옆 정부과천청사 버스정류장 인근 치유정원을 다양한 꽃과 허브 향기가 가득한 자연친화적 감성정원으로 새단장했다,0.1975,0.1111,0.1111,0.1111
korean,p00,u59,치유정원은 버스나 지하철을 이용하는 시민들이 대중교통수단을 기다리는 동안 라벤더 등 열 여섯 여종의 허브 향기를 즐기고 포토존까지 구비된 장소이다,0.2716,0.0617,0.0494,0.0494
korean,p00,u60,시는 지난해부터 꽃과 쉼이 있는 거리 조성사업을 추진해 코로나 일구로 지친 시민의 마음을 치유하고자 도심 곳곳에 감성공간을 조성해 왔다,0.28,0.0667,0.0667,0.1467
korean,p00,u61,지난해에는 대공원 나들길에 계절마다 초화 관목 화분 등을 설치해 시민들이 산책과 휴식을 취할 수 있는 힐링공간을 만들었다,0.2239,0.0448,0.0896,0.1045
korean,p00,u62,또 지난달 중순에는 지역 가로변 및 주요 화단에 루피너스 외 이십 여종과 약 십 일 만 본의 꽃을 식재하기도 했다,0.381,0.1429,0.1746,0.127
korean,p00,u63,단양의 걷기 명소로 주목받고 있는 남한강 어우름길이 최근 전면 개통해 관광객의 발길을 끌고 있다,0.2453,0.1509,0.0943,0.1887
korean,p00,u64,군에 따르면 남한강 어우름길은 느림보 강물길 네 코스 중 수변로와 단양 생태 체육공원을 잇는 구간으로 이백 육십 오 미터 연결로와 사십 오 미터 교량이 최근 개통됐다,0.5109,0.1413,0.1413,0.2065
korean,p00,u65,이번에 개통된 연결로와 교량은 느림보 강물길 네 코스 약 육 킬로미터 구간을 모두 잇는 마지막 연결고리다,0.6034,0.1379,0.1724,0.1034
korean,p00,u66,어우름길은 정원과 광장 포토존 등 다양한 편의시설이 확충될 예정이고 단양 생태 체육공원 등의 대형 주차장이 추가로 확보된다,0.3088,0.1618,0.1618,0.2647
korean,p00,u67,게다가 카약과 파티 보트 등 다채로운 수상 레포츠를 즐길 수 있는 단양 생태 체육공원 계류장도 개장을 눈앞에 두고 있다,0.2273,0.1515,0.1212,0.0909
korean,p00,u68,특히 이 길은 느림보 강물길 일 에서 오 코스 가장자리에 있어 도심 방면으로는 도심의 세련미와 함께 만천하스카이워크 이끼터널 등 유명 관광지를 둘러볼 수 있다,0.2841,0.1136,0.1477,0.1591
korean,p00,u69,도심 외곽 방면으로는 도담삼봉과 석문 금굴 등 역사 명승지를 만날 수 있다,0.3415,0.0976,0.2195,0.2195
korean,p00,u70,전국에 이름난 단양강잔도하고도 이어져 단양강 따라 걷는 약 사 키로미터는 이미 큰 인기를 끌며 전국의 트레킹 애호가들의 주목을 받고 있다,0.2632,0.1842,0.1579,0.1579
korean,p00,u71,조이시티는 자회사 로드비웹툰의 사명을 조이플 엔터테인먼트로 변경했다고 사 일 밝혔다,0.1739,0.1304,0.1087,0.1304
korean,p00,u72,새로운 사명인 조이플 엔터테인먼트는 조이와 피플의 합성어로 독자들에게 즐거움을 안겨주는 콘텐츠를 개발하겠다는 뜻을 담았다,0.2836,0.0746,0.1045,0.0746
korean,p00,u73,조이플 엔터테인먼트는 올해 샤이닝 썸머 대공님의 애완 수인 등 다양한 작품을 선보였다,0.234,0.1489,0.1064,0.1064
korean,p00,u74,이 중 대공님의 애완 수인은 지난 칠 월 연재 개시 이후 카카오페이지 실시간 랭킹 일 위를 기록한 바 있다,0.4068,0.1525,0.1525,0.2203
korean,p00,u75,또 중국 웹툰 플랫폼 콰이칸과 연재 계약을 체결하며 글로벌 시장에 진출했다,0.1707,0.1463,0.0976,0.1463
korean,p00,u76,조이플 엔터테인먼트는 판타지 장르를 비롯한 십 여종의 노블코믹스 및 오리지널 웹툰 타이틀을 제작 중이다,0.2807,0.1228,0.1053,0.1404
korean,p00,u77,내년에는 모회사 조이시티의 게임 지식 자산를 활용한 웹툰도 선보일 계획이다,0.2439,0.1707,0.1707,0.1463
korean,p00,u78,김준현 조이플 엔터테인먼트 대표는 웹툰 분야에 국한하지 않고 스토리 콘텐츠 분야 전반을 다루는 기업으로 성장해나갈 계획이라고 말했다,0.1096,0.0822,0.1233,0.1233
korean,p00,u79,조현동 외교부 일 차관과 신범철 국방부차관이 십 사 일 로라 데시몬 미국 미사일방어청 부청장을 만나 미사일 방어 협력을 논의했다,0.2535,0.1268,0.1268,0.1268
korean,p00,u80,두 차관은 이날 미국 엠디에이를 방문해 현재의 연구개발 현황을 소개 받았다,0.5122,0.3171,0.122,0.3171
korean,p00,u81,아울러 실전배치돼 운용 중인 다양한 미국의 미사일방어체계에 대해 설명을 듣고 대한민국에 대한 미국의 확장억제 공약에 기여할 수 있는 방안을 논의했다,0.1951,0.0854,0.061,0.0732
korean,p00,u82,두 차관은 데시몬 부청장을 접견하고 엠디에이의 미사일방어 능력과 태세를 확인했다,0.3409,0.2955,0.2273,0.2727
korean,p00,u83,조 차관은 미국의 확장억제 공약에서 엠디 능력이 갖는 중요성을 언급하며 엠디에이 차원에서 적극 지원해 줄 것을 당부했다,0.2424,0.1364,0.1515,0.1667
korean,p00,u84,신 차관은 고도화되고 있는 북한 핵미사일 위협에 억제대응하기 위해 긴밀한 한미 협력이 필요하다고 주문했다,0.2586,0.0862,0.1379,0.1724
korean,p00,u85,아울러 한미 국방당국 간에 진행 중인 다양한 미사일방어 협력이 동맹의 능력과 태세를 한층 강화하는 기반이 될 것이라고 강조했다,0.2429,0.0714,0.0714,0.0571
korean,p00,u86,이에 데시몬 부청장은 북한의 미사일 위협에 대비하여 다양한 엠디 능력과 확고한 방어태세가 준비돼 있음을 강조했다,0.4355,0.2097,0.1774,0.3226
korean,p00,u87,이어서 정책전략적 수준에서 한미 간 미사일방어 협력이 더욱 발전하기를 기대한다고 밝혔다,0.2083,0.0625,0.1042,0.1458
korean,p00,u88,모텔에 감금한 남성에게 폭행을 가한 뒤 신체를 촬영한 십 대 남녀가 경찰에 붙잡혔다,0.5,0.0652,0.087,0.1087
korean,p00,u89,십 사 일 인천 미추홀 경찰서는 특수상해와 감금 혐의로 에이 군 등 고등학생 이 명과 중학생 비 양을 긴급 체포해 조사하고 있다고 밝혔다,0.4079,0.0789,0.0921,0.1711
korean,p00,u90,에이 군 등은 전날 오전 사 시쯤 인천시 미추홀구 한 모텔에서 씨 군의 몸을 담뱃불로 지지고 빈 병과 구둣주걱 등으로 때리는 등 폭행한 혐의를 받는다,0.3855,0.1687,0.0964,0.1807
korean,p00,u91,이들은 씨 군의 옷을 모두 벗겨 알몸 상태로 사진까지 촬영한 것으로 조사됐다,0.4762,0.0,0.1429,0.119
korean,p00,u92,씨 군의 신고를 받고 추적에 나선 경찰은 당일 오후 에이 군 등 세 명을 차례로 붙잡았다,0.3265,0.0408,0.102,0.1224
korean,p00,u93,씨 군은 에이 군 등의 범행으로 얼굴에 골절상을 입는 등 크게 다쳐 병원에서 치료를 받고 있는 것으로 전해졌다,0.2295,0.0164,0.0,0.082
korean,p00,u94,경찰은 씨 군이 과거 비 양과 교제했다가 헤어졌다는 피의자 측 진술 등을 토대로 정확한 범행 동기를 확인할 계획이다,0.2969,0.1094,0.0938,0.1094
korean,p00,u95,씨 군은 자신이 에이 군 등으로부터 폭행을 왜 당했는지 모르겠다는 취지로 경찰에 진술한 것으로 알려졌다,0.1754,0.1053,0.1228,0.1228
korean,p00,u96,경찰 관계자는 에이 군 등 세 명의 죄질이 나쁜 점 등을 고려해 구속영장을 신청할 예정이라고 말했다,0.2364,0.0545,0.0545,0.0727
korean,p00,u97,순찰차를 타고 농가를 순찰하던 경찰관이 불법 마약용 양귀비를 재배하던 비닐하우스를 발견해 검거했다,0.4815,0.1481,0.1667,0.2222
korean,p00,u98,지난 구 일 대한민국 경찰청 공식 페이스북에는 순찰 중 발견한 수상한 꽃 경찰의 소름 돋는 눈썰미라는 영상이 올라왔다,0.4923,0.1077,0.1077,0.1385
korean,p00,u99,영상에 따르면 지난달 십 구 일 오전 팔 시쯤 대전 유성구의 농작물 절도 신고 다발지역을 순찰하던 경찰은 한 비닐하우스 앞으로 양귀비로 보이는 식물을 발견했다,0.25,0.1023,0.0568,0.0909
korean,p02,u00,의사를 꿈꿨던 십 이 세 소년이 환자 다섯 명에게 새 삶을 선물하고 세상을 떠났다,0.4222,0.0889,0.1111,0.1556
korean,p02,u01,한국 장기 조직 기증원은 이십 팔 일 김상현군이 계명대 동산 의료원에서 장기를 기증하고 숨졌다고 밝혔다,0.3509,0.1228,0.1053,0.1579
korean,p02,u02,김군은 지난 육 일 극심한 두통으로 의식을 잃고 쓰러진 채 병원으로 긴급 이송돼 치료를 받았으나 뇌사 판정을 받았었다,0.3846,0.0923,0.1077,0.1385
korean,p02,u03,김군은 지난 이십 삼 일 심장과 좌우 신장 간장 양측 폐장을 기부하고 하늘나라로 갔다,0.2979,0.1702,0.1915,0.1915
korean,p02,u04,기증원에 따르면 김군은 생전 엄마가 아프지 않게 해 줄 수 있는 의사가 되고 싶다고 말해오던 살가운 아들이었다,0.2623,0.0492,0.0492,0.0656
korean,p02,u05,유족은 착한 아이였던 만큼 좋은 일을 하면서 보내주자며 장기 기증에 선뜻 동의한 것으로 전해졌다,0.3396,0.1698,0.0755,0.1132
korean,p02,u06,김군의 아버지는 기증원을 통해 아들의 장기를 기증받은 친구들이 행복했으면 좋겠다며 성인이 돼서 좋은 일을 많이 하고 건강히 살았으면 좋겠다고 전했다,0.122,0.0488,0.0366,0.061
korean,p02,u07,기증원 측은 어리고 착한 아이가 떠난다는 것을 받아들이는 것도 힘든 일인데 누군가 살리기 위해 기증에 동의해준 보호자에게 감사하다고 화답했다,0.1667,0.0513,0.0641,0.0513
korean,p02,u08,전남 곡성군은 청정 전남 으뜸 마을 사업을 지난해에 이어 올해도 본격적으로 추진한다고 이십 일 밝혔다,0.3571,0.125,0.125,0.2321
korean,p02,u09,주민이 주도해 마을 환경을 개선하도록 지원하는 사업으로 전라남도의 역점 시책 중 하나로 선정된 마을은 삼백 만원씩 삼 년 동안 총 구백 만원을 지원받게 된다,0.2529,0.046,0.069,0.0805
korean,p02,u10,각 마을들은 마을의 특성과 상황 주민의 요구 등에 따라 필요한 마을 만들기 사업을 추진한다,0.14,0.06,0.04,0.1
korean,p02,u11,군에서는 기존에 추진 중인 마흔 여섯 개 마을과 올해 신규로 선정된 마흔 여섯 개 마을까지 총 아흔 두 개 마을을 대상으로 지난 사 월부터 사업을 시작했다,0.4302,0.1395,0.1744,0.1512
korean,p02,u12,화단 조성과 벽화 그리기 쉼터 조성 우체통 만들기 등 마을 환경을 개선하고 마을 공동체에 활력을 불어넣기 위한 다양한 사업을 진행하고 있다,0.1948,0.1429,0.1039,0.1429
korean,p02,u13,군 관계자는 사업 계획에서부터 사후 관리까지 마을 주민들의 자발적인 참여를 통해 사업을 진행함으로써 공동체 정신을 회복할 수 있도록 적극 지원하겠다고 말했다,0.069,0.046,0.046,0.0345
korean,p02,u14,경마장 가는 길 등의 소설로 유명한 하일지가 영월을 찾아 그의 미술적 세계를 펼치고 있다,0.3265,0.1224,0.1429,0.102
korean,p02,u15,하일지 초대전 늙은 떡갈나무한테 시집간 처녀 이야기가 오는 이십 삼 일까지 영월 문화 예술 회관 이 층 전시실에서 열린다,0.5373,0.2985,0.1493,0.2239
korean,p02,u16,하일지는 십 이 권의 장편 소설과 두 권의 시집 등을 내는 등 작가로서 활발히 활동해왔다,0.6735,0.3673,0.1633,0.2653
korean,p02,u17,그러다 이천 십 구 년부터 그림을 그리기 시작 불과 삼 년 만에 수백 점의 그림을 쏟아냈다,0.62,0.08,0.1,0.08
korean,p02,u18,전문적인 미술 교육을 받은 적은 없으나 독창적인 방식으로 자신의 문학적 세계를 그려나간다는 평가다,0.1481,0.037,0.037,0.0741
korean,p02,u19,그의 그림은 한 가지 형식에 고정되어 있지 않고 끊임없는 변신을 거듭하면서 여러 가지 시리즈를 만들어내고 있다,0.541,0.082,0.1311,0.1311
korean,p02,u20,나무와 돌 시계들의 푸른 명상 순례자들의 여정 등 독특하고 대범한 그림들이 완성됐다,0.1957,0.0435,0.2174,0.0217
korean,p02,u21,이번 전시에는 늙은 떡갈나무한테 시집간 처녀 이야기 시리즈를 볼 수 있다,0.45,0.175,0.15,0.15
korean,p02,u22,경주 출신으로 어릴 적 충북 단양군 영춘면에 살았던 그는 영월에 대한 많은 추억을 갖고 있고 오방색으로 그린 강렬한 그림에 영월의 정서를 담았다,0.15,0.0625,0.1,0.0625
korean,p02,u23,산업화 되기 전 정이 넘치는 토속적인 시골 정취와 시골 소년의 상상력이 어우러져 표현된다,0.3673,0.1224,0.2041,0.2449
korean,p02,u24,이 시리즈 외에도 이국적이고 몽환적인 그림 우주피스 공화국 녹색시대 시리즈 그림 등 팔십 점이 소개된다,0.4211,0.1228,0.1404,0.1228
korean,p02,u25,하일지는 프랑스 쁘와티에 대학 불문학 석사 리모주대 불문학 박사를 받았고 서울과 프랑스 등에서 다수의 개인전과 그룹전에 참여하며 미술가로서 왕성하게 활동하고 있다,0.3222,0.1222,0.1444,0.1333
korean,p02,u26,지난달 화물연대 파업 당시 인천신항 인근에 못 칠백 여개를 뿌려 차량 다섯 대 바퀴에 손상을 입힌 오십 대 남성이 경찰에 붙잡혔다,0.4306,0.1111,0.1111,0.25
korean,p02,u27,이십 팔 일 인천 연수경찰서는 특수재물손괴 혐의로 화물트럭기사 오십 대 에이 씨를 검거했다고 밝혔다,0.5273,0.0909,0.0909,0.1455
korean,p02,u28,에이 씨는 지난 십 일 월 삼십 일 새벽시간대에 송도 신항대로에 쇠못을 뿌려 차량 다섯 대의 바퀴에 손괴를 입힌 혐의를 받고있다,0.4789,0.1549,0.2113,0.2394
korean,p02,u29,연수서는 당시 신항대로에 쇠못 칠백 여개가 뿌려져있다는 신고를 접수받고 출동해 못을 수거했다,0.4902,0.2157,0.2157,0.2549
korean,p02,u30,연수서는 범인을 검거하기 위해 강력 네 개팀 광수대 한 개팀으로 사건전담팀을구성해 씨씨티브이 및 탐문 수사를 통해 지난 십 칠 일 오후 열 시께 에이 씨를 붙잡았다,0.4945,0.1868,0.2418,0.2088
korean,p02,u31,에이 씨의 화물연대 노조 가입 여부는 현재까지 밝혀지지 않았으며 경찰은 범행 동기를 집중적으로 조사할 예정이다,0.377,0.0328,0.0,0.0492
korean,p02,u32,연수서 관계자는 이십 팔 일 오후에 에이 씨를 불러 조사할 예정이며 추가 영장 신청 여부는 이후에 결정될 것 이라고 말했다,0.2794,0.0294,0.0147,0.0294
korean,p02,u33,비엔피파리바 카디프생명은 인공지능 기술을 활용한 시그니처 에이아이 변액 연금 보험을 출시했다고 일 일 밝혔다,0.4,0.25,0.15,0.25
korean,p02,u34,이 상품은 에이아이 펀드 상장 지수 펀드 펀드 등 다양한 투자 선택지를 제공한다,0.5227,0.0227,0.0227,0.0455
korean,p02,u35,국내 주식 해외 주식 등 영역별로 특화된 에이아이 알고리즘을 탑재한 에이아이 펀드들을 제공해 고객이 투자 성향에 맞게 선택할 수 있다,0.2973,0.0676,0.1486,0.0811
korean,p02,u36,이티에프 투자를 원하는 고객들은 개별 이티에프 펀드를 선택해 금 달러 채권 등의 영역에도 투자할 수 있다,0.7241,0.069,0.1034,0.069
korean,p02,u37,사망을 보장하는 일반사망형과 고도 재해 장해를 보장하는 재해 장해형 중 선택이 가능하며 납입기간 및 유형에 따라 영 세부터 칠십 세까지 가입할 수 있다,0.3452,0.119,0.1429,0.1905
korean,p02,u38,기본 보험료는 적립형 십 만 원 이상 일시납 삼천 만 원 이상으로 가입할 수 있다,0.5111,0.2222,0.2,0.1778
korean,p02,u39,일정기간 적립 후 보다 안정적인 수익 관리를 원한다면 공시 이율로 적립되는 일반 계정 전환 채권이티에프재간접형 펀드로의 적립금 이전 등도 활용할 수 있다,0.4824,0.2,0.1529,0.2353
