sentence_id,reference,hypothesis,cer
u40,이용 요금은 십 사 세 이상 일만 이천 원 어린이 팔천 원이며 칠곡군민은 오십 퍼센트 할인된다,이용요금은 십 사 세 이상 만 이천 원 어린이 팔 천 원이며 칠 고 구미는 오십 퍼센트 할인된다,0.1731
u41,다른 지역 방문객도 오천 원으로 오십 퍼센트 할인권 구매가 가능해 이만 오천 원이면 사 인 가족이 이용할 수 있다,다른 지역 방문계도 오천 원으로 오십 퍼센트 할인권 구매가 가능해 이만 오천 원이면 사인 가족이 이용할 수 있다,0.0317
u42,광역동 체제로 행정구역이 개편돼 열 곳으로 줄었던 경기 부천지역 사전투표소가 오는 삼 월 대선을 앞두고 서른 여섯 곳으로 원상복구된다,강역동 체제로 행정부역이 개편 돼 열 곳으로 줄었던 경기 부찬 지역 사전투표소가 오는 삼 월 대선을 앞두고 서른 여섯 곳으로 원상 복구 된다,0.0946
u43,십 이 일 부천시와 선거관리위원회에 따르면 지난 십 일 일 열린 국회 본회의에서 서영석 더불어민주당 의원이 대표 발의한 공직선거법 일부 개정 법률안이 가결됐다,십 이 일 부천시와 선거관리위원회에 따르면 지난 십 일 일 열린 국회본회의에서 서영석 더불어민주당 의원이 대표 발의한 공직선거법 일부 개정 법률안이 가결됐다,0.0114
u44,이 법률안에는 행정구역 개편으로 읍 면 동 수가 줄어든 경우 개편 직전의 수를 기준으로 사전투표소를 설치하고 선거 사무원을 선임하는 내용이 담겼다,이 법률안에는 행정구역 개편으로 읍 면 동 수가 줄어든 경우 개편 직전에 수를 기준으로 사전투표서를 설치하고 선거사무원을 선임하는 내용이 담겼다,0.037
u45,개정된 법안은 오는 십 오 일 공포와 동시에 시행돼 삼 월 구 일 열리는 제 이십 대 대통령 선거부터 적용될 예정이다,개정된 법안은 오는 십 오 일 공포와 동시에 시행돼 삼 월 구 일 열리는 제 이십 대 대통령 선거부터 적용될 예정이다,0.0
u46,앞서 부천시는 지난 이천 십 구 년 광역동 체제로 전환하면서 기존 서른 여섯 개 행정동이 열 곳으로 대폭 축소됐다,앞서 부천시는 지난 이천 십 구 년 광역동 체제로 전환하면서 기존 서른 여섯 개 행정 등이 열 곳으로 대폭 축소됐다,0.0317
u47,이에 따라 사전투표소 수도 열 개로 축소돼 지난 이천 이십 년 제 이십 일 대 총선 당시 주민들이 멀리 떨어진 투표소까지 찾아가야 하는 불편을 겪었다,이에 따라 사전투표소 수도 열 개로 축소돼 지난 이천 이십 년 제 이십 일 대 총선 당시 주민들이 멀리 떨어진 투표소까지 찾아가야 하는 불편을 겪었다,0.0
u48,이 영향으로 부천지역 사전투표율은 전국 기초 지자체 가운데 두 번째로 낮았고 참정권 침해 논란이 일기도 했다,이 영향으로 부천 지역 사전투표율은 경국 지초 지자체 가운데 두 번째로 낮았고 삼 정권팀의 논란이 일기도 있다,0.15
u49,부천시 선관위는 대선 때 사전투표소가 원활하게 운영되도록 잘 준비하겠다고 밝혔다,부천시 선관위는 개선대 사전수표소가 원활하게 운영되도록 잘 준비하겠다고 밝혔다,0.0909
u50,영화 해적 도깨비 깃발이 팔 일 연속 박스 오피스 최정상을 지키며 설 연휴 극장가를 사로잡았다,영화 해적 독객이 휘발이 팔 일 연속 박스오피스 최장상을 지키며 설 연휴 독자가를 사로잡았다,0.1538
u51,삼 일 영화 진흥 위원회 영화관 입장권 통합 전산망에 따르면 해적 도깨비 깃발은 전날 하루 동안 십 삼 만 천 칠백 십 일 명을 동원해 누적 관객수 팔십팔 만천사백구십육 명을 기록했다,삼 일 영화진흥위원회 영화관 입장권 통화점산망에 따르면 해적 도객이 휘발은 전날 하루 동안 십 삼만 천 칠백 십 일 명을 동원해 누적 관객 수 팔십 팔 만 천 사백 구십 육 명을 기록했다,0.1471
u52,해적 도깨비 깃발은 흔적도 없이 사라진 왕실 보물의 주인이 되기 위해 바다로 모인 해적들의 스펙터클한 모험을 그린 영화다,해적 독개기 휘발은 흔적도 없이 사라진 왕실 보물의 주인이 되기 위해 바다로 모인 해적들의 스펙터크란 모험을 그린 영화다,0.0896
u53,작품은 동시기 개봉작을 비롯해 쟁쟁한 국내외 모든 경쟁작을 압도적으로 제치며 올해 개봉작 중 최고 스코어를 넘어섰다,작품은 동식이 개봉작을 비롯해 경쟁한 국내에 모든 경쟁작은 압도적으로 지치며 올해 개봉작 중 최고 스코올을 넘어섰다,0.125
u54,이 위를 차지한 킹메이커는 칠만 육천 이백 팔십 팔 명을 불러모아 누적 관객수 사십 팔 만 사천 사백 이십 구 명을 동원했다,이 위를 차지한 킹�이커는 칠만 육천 이백 팔십 팔 명을 불러 모아 누적 관객 수 사십 팔 만 사천 사백 이십 구 명을 동원했다,0.0435
u55,사 위 씽투게더는 일일 관객수 이만 육백 이십 팔 명으로 누적 관객수는 칠십 구 만 삼천 오백 사십 구 명으로 집계됐다,사위 싱투게더는 인릴 관객 수 이만 육백 이십 팔 명으로 누적 관객 수는 칠십 구만 삼천 오백 사십 구 명으로 집계됐다,0.1061
u56,오 위 극장판 안녕 자두야 제주도의 비밀은 일일 관객수 일만 이천 오백 오십 오 명 누적 관객수 육만 칠천 삼백 이십 팔 명이다,오 일 국장판 안령자두야 제주도의 비밀은 인류광객수 일만 이천 오백 오십 오 명 누적광객수 육만 칠천 삼백 육십 팔 명이다,0.1549
u57,경기 과천시는 이천 이십 이 년 꽃과 쉼이 있는 거리 조성 사업을 통해 거리 곳곳에 꽃향기 가득한 감성 공간을 조성하고 있다고 십 구 일 밝혔다,경기과찬시는 이천 이십 이 년 꽃과 심이 있는 거리 조성 사업을 통해 거리 곳곳에 꽃향기 가득한 감성공간을 조성하고 있다고 십 구 일 밝혔다,0.05
u58,과천시는 이 사업을 통해 과천시민회관 옆 정부과천청사 버스정류장 인근 치유정원을 다양한 꽃과 허브 향기가 가득한 자연친화적 감성정원으로 새단장했다,과찬시는 이 사업을 통해 과찬시민회관 옆 정부과찬청사 버스 정리장 인근 치유 정원을 다양한 꽃과 허브 향기가 가득한 자연 친화적 감성 정원으로 새 단장했다,0.1111
u59,치유정원은 버스나 지하철을 이용하는 시민들이 대중교통수단을 기다리는 동안 라벤더 등 열 여섯 여종의 허브 향기를 즐기고 포토존까지 구비된 장소이다,치유정원은 버스나 지하철을 이용하는 시민들이 대중교통 수단을 기다리는 동안 라벤더 등 열 여섯 여종의 서부향기를 즐기고 포토전까지 구비된 장소이다,0.0617
u60,시는 지난해부터 꽃과 쉼이 있는 거리 조성사업을 추진해 코로나 일구로 지친 시민의 마음을 치유하고자 도심 곳곳에 감성공간을 조성해 왔다,시는 지난해부터 꽃과 시민이 있는 거리 조성 사업을 추진해 코로나 일구로 지친 시민의 마음을 취유하고자 도심 곳곳에 감성공간을 조성해왔다,0.0667
u61,지난해에는 대공원 나들길에 계절마다 초화 관목 화분 등을 설치해 시민들이 산책과 휴식을 취할 수 있는 힐링공간을 만들었다,지난해에는 대공원 나들길의 계절마다 초와 관목 화분 등을 설치해 시민들이 산책과 휴식을 취할 수 있는 힐링 공간을 만들었다,0.0448
u62,또 지난달 중순에는 지역 가로변 및 주요 화단에 루피너스 외 이십 여종과 약 십 일 만 본의 꽃을 식재하기도 했다,또 지난달 중순에는 지역 가로변 및 지역 화단의 루피 너스 외 이십 여정과 약 십 일만 분의 꽃을 축제하기도 했다,0.1429
u63,단양의 걷기 명소로 주목받고 있는 남한강 어우름길이 최근 전면 개통해 관광객의 발길을 끌고 있다,다양의 걷기 명소로 주목받고 있는 남한강 어워린 길이 최근 전면 대통령 관광객의 발개를 끌고 있다,0.1509
u64,군에 따르면 남한강 어우름길은 느림보 강물길 네 코스 중 수변로와 단양 생태 체육공원을 잇는 구간으로 이백 육십 오 미터 연결로와 사십 오 미터 교량이 최근 개통됐다,군에 따르면 남아가 거울은 길은 느림보구 강물길 네 코스 우중 수별로와 단양생태행 체육공원을 잇는 구간으로 이백 육십 오 미터 연결로와 사십 오 미터 교장이 최근 개평됐다,0.1413
u65,이번에 개통된 연결로와 교량은 느림보 강물길 네 코스 약 육 킬로미터 구간을 모두 잇는 마지막 연결고리다,이번에 개통된 연결로와 조량은 느린 보 강물기는 내 코스 약 육 킬로미터 구간을 모두 잇는 마지막 연결골이다,0.1379
u66,어우름길은 정원과 광장 포토존 등 다양한 편의시설이 확충될 예정이고 단양 생태 체육공원 등의 대형 주차장이 추가로 확보된다,어우는 길은 정원과 광장 포토전 등 다양한 편의 시절이 확진될 예정이고 단양 생태 채우공원 등의 대형차장에 추가로 확보된다,0.1618
u67,게다가 카약과 파티 보트 등 다채로운 수상 레포츠를 즐길 수 있는 단양 생태 체육공원 계류장도 개장을 눈앞에 두고 있다,계다가 카약과 파티모트 등 다채로운 수상래포치를 즐길 수 있는 단양생태체육공원 개류장도 계장을 눈앞에 두고 있다,0.1515
u68,특히 이 길은 느림보 강물길 일 에서 오 코스 가장자리에 있어 도심 방면으로는 도심의 세련미와 함께 만천하스카이워크 이끼터널 등 유명 관광지를 둘러볼 수 있다,특히 이 길은 누림보 강물길 이래서 오호스 가장자리에 있어 도심 방면으로는 도심의 세련미와 함께 만천하 스카이워크 이키터널 등 유명 관광길을 둘러볼 수 있다,0.1136
u69,도심 외곽 방면으로는 도담삼봉과 석문 금굴 등 역사 명승지를 만날 수 있다,도심 외곽 방면으로는 도담 산분과 성문 금굴 등 역사 명승지를 만날 수 있다,0.0976
u70,전국에 이름난 단양강잔도하고도 이어져 단양강 따라 걷는 약 사 키로미터는 이미 큰 인기를 끌며 전국의 트레킹 애호가들의 주목을 받고 있다,전국에 이름난 방향강 간도와 하구도 이어져 방향강 따라 걷는 약 사 킬로미터는 이미 큰 인기를 끌며 전국의 트랙킹 예우가들의 주목을 맡고 있다,0.1842
u71,조이시티는 자회사 로드비웹툰의 사명을 조이플 엔터테인먼트로 변경했다고 사 일 밝혔다,조이 시티는 자회사 로드위 웨톤의 사명을 조이풀 엔터테인먼트로 변경했다고 사 일 밝혔다,0.1304
u72,새로운 사명인 조이플 엔터테인먼트는 조이와 피플의 합성어로 독자들에게 즐거움을 안겨주는 콘텐츠를 개발하겠다는 뜻을 담았다,새로운 사명인 조이풀 엔터테인먼트는 조이와 티풀의 합성으로 독자들에게 즐거움을 안겨주는 콘텐츠를 개발하겠다는 뜻을 잡았다,0.0746
u73,조이플 엔터테인먼트는 올해 샤이닝 썸머 대공님의 애완 수인 등 다양한 작품을 선보였다,조이플렌터테인먼트는 올해 샤이닉 선보 개공님의 애완수인 등 다양한 작품을 선보였다,0.1489
u74,이 중 대공님의 애완 수인은 지난 칠 월 연재 개시 이후 카카오페이지 실시간 랭킹 일 위를 기록한 바 있다,이 종 대공님의 애완 수인은 지난 칠 월 연재 개시 이후 카카오 배위 신시간 냉행 일 일을 기록한 바 있다,0.1525
u75,또 중국 웹툰 플랫폼 콰이칸과 연재 계약을 체결하며 글로벌 시장에 진출했다,또 중국에 뜬 플랫폼 카이 컴과 연재 계약을 체결하며 글로벌 시장에 진출했다,0.1463
u76,조이플 엔터테인먼트는 판타지 장르를 비롯한 십 여종의 노블코믹스 및 오리지널 웹툰 타이틀을 제작 중이다,조이프 랜터테인먼트는 판타지 장르를 비롯한 십 여 종의 노블 코메스 및 오리지널 외톤 타이틀을 제작 중이다,0.1228
u77,내년에는 모회사 조이시티의 게임 지식 자산를 활용한 웹툰도 선보일 계획이다,내년에는 모회사 조이 시티의 게임 기식자산을 활용한 레튼드 선보일 계획이다,0.1707
u78,김준현 조이플 엔터테인먼트 대표는 웹툰 분야에 국한하지 않고 스토리 콘텐츠 분야 전반을 다루는 기업으로 성장해나갈 계획이라고 말했다,김준현 조입군 엔터테인먼트 대표는 외툰분야에 국환하지 않고 스토리 콘텐츠 분야 전반을 다루는 기업으로 성장해 나갈 계획이라고 말했다,0.0822
u79,조현동 외교부 일 차관과 신범철 국방부차관이 십 사 일 로라 데시몬 미국 미사일방어청 부청장을 만나 미사일 방어 협력을 논의했다,조연동 외교부 일 차관과 신범철 국부 부차관이 십 사 일 로라 대퇴문 미국 미사일 방어촌 부창장을 만나 미사일 방어 협력을 논의했다,0.1268
u80,두 차관은 이날 미국 엠디에이를 방문해 현재의 연구개발 현황을 소개 받았다,도 차관은 이난미국 엔디에이를 방문해 현재 영국의 발산항을 소개받았다,0.3171
u81,아울러 실전배치돼 운용 중인 다양한 미국의 미사일방어체계에 대해 설명을 듣고 대한민국에 대한 미국의 확장억제 공약에 기여할 수 있는 방안을 논의했다,아울러 신전배치대 운영 중인 다양한 미국의 미사일 방어 체계에 대해 설명을 듣고 대한민국에 대한 미국이 확장 억제 공약에 기여할 수 있는 방안을 논의했다,0.0854
u82,두 차관은 데시몬 부청장을 접견하고 엠디에이의 미사일방어 능력과 태세를 확인했다,돌창안은 대시문 부청장을 접견하고 엠데이에이에 이사힐방어 능력과 퇴사를 확인했다,0.2955
u83,조 차관은 미국의 확장억제 공약에서 엠디 능력이 갖는 중요성을 언급하며 엠디에이 차원에서 적극 지원해 줄 것을 당부했다,조차관은 미국의 확장 업계 공약에서 엠지 등력이 갖는 중요성을 언급하며 엠지에이 차원에서 적극 기원해줄 것을 당부했다,0.1364
u84,신 차관은 고도화되고 있는 북한 핵미사일 위협에 억제대응하기 위해 긴밀한 한미 협력이 필요하다고 주문했다,신사관은 보도화되고 있는 북한 핵미사일 위협에 억제 대응하기 위해 긴밀한 한미협력이 필요하다고 주문했다,0.0862
u85,아울러 한미 국방당국 간에 진행 중인 다양한 미사일방어 협력이 동맹의 능력과 태세를 한층 강화하는 기반이 될 것이라고 강조했다,아울러 한미 국방당국관을 진행 중인 다양한 미사일 방어 협력이 동맹의 능력과 태세를 한 층 강화하는 기반이 될 것이라고 강조했다,0.0714
u86,이에 데시몬 부청장은 북한의 미사일 위협에 대비하여 다양한 엠디 능력과 확고한 방어태세가 준비돼 있음을 강조했다,이에 대키문 부청장은 독한의 미사일 위협에 대비하여 다양한 엠디등역과 확보한 방어퇴세가 준비돼 이십을 관계했다,0.2097
u87,이어서 정책전략적 수준에서 한미 간 미사일방어 협력이 더욱 발전하기를 기대한다고 밝혔다,이어서 정책 전략적 훈련에서 한미 간 미사일방어 협력이 더욱 발전하기를 기대한다고 밝혔다,0.0625
u88,모텔에 감금한 남성에게 폭행을 가한 뒤 신체를 촬영한 십 대 남녀가 경찰에 붙잡혔다,오텔에 강렴한 남성에게 폭행을 가한 뒤 신체를 촬영한 십 대 남녀가 경찰에 붙잡혔다,0.0652
u89,십 사 일 인천 미추홀 경찰서는 특수상해와 감금 혐의로 에이 군 등 고등학생 이 명과 중학생 비 양을 긴급 체포해 조사하고 있다고 밝혔다,십 사 일 인천 리추올경찰서는 특수상해와 강금 혐의로 에이 군 등 고등학생 두 명과 중학생 비 양을 긴급체포해 조사하고 있다고 밝혔다,0.0789
u90,에이 군 등은 전날 오전 사 시쯤 인천시 미추홀구 한 모텔에서 씨 군의 몸을 담뱃불로 지지고 빈 병과 구둣주걱 등으로 때리는 등 폭행한 혐의를 받는다,에이 군 등은 전날 오전 네 시쯤 인천시 미초홀구 한 호텔에서 시군의 몸을 담배불로 지지고 진지한 거와 구족 주거 등으로 때리는 등 폭행한 혐의를 받는다,0.1687
u91,이들은 씨 군의 옷을 모두 벗겨 알몸 상태로 사진까지 촬영한 것으로 조사됐다,이들은 씨 군의 옷을 모두 벗겨 알몸 상태로 사진까지 촬영한 것으로 조사됐다,0.0
u92,씨 군의 신고를 받고 추적에 나선 경찰은 당일 오후 에이 군 등 세 명을 차례로 붙잡았다,이 군의 신고를 받고 추적의 나선 경찰은 당일 오후 에이 군 등 세 명을 차례로 붙잡았다,0.0408
